Parametro,Unidad,Etapa,Planta,Valor
Lodos de clarificación,kgLodos∙h-1,Clarificación,Planta D,11495
Agua de recuperación,kgagua∙h-1,Recuperación de aceite,Planta D,3180
Aceite recuperado,kgaceite∙h-1,Recuperación de aceite,Planta D,651
Efluente,kgefluente∙h-1,Recuperación de aceite,Planta D,14024
Vapor de almacenamiento,kgvapor∙h-1,Almacenamiento,Planta D,1127
Temperatura despacho,°C,Almacenamiento,Planta D,52
Vapor de secado,kgvapor∙h-1,Secado de nueces,Planta D,1220
Temperatura aire de secado,°C,Flujo de aire de secado,Planta D,50
Humedad de secado,%,Flujo de aire de secado,Planta D,7.1
Cuesco,tCuesco∙año-1,Rotura de nuez,Planta D,7519
Almendra,tAlmendra∙año-1,Rotura de nuez,Planta D,5576
Agua de proceso,kgagua∙año-1,Calentamiento agua proceso,Planta D,36935
Temperatura de calentamiento,°C,Calentamiento agua proceso,Planta D,90
Vapor de calentamiento,kgvapor∙año-1,Calentamiento agua proceso,Planta D,4220.9
Fibra en caldera,%,Caldera,Planta D,86
Cuesco en caldera,%,Caldera,Planta D,55
Flujo de vapor,kgvapor∙h-1,Caldera,Planta D,55402
Presión de vapor,bar,Caldera,Planta D,1.5
Temperatura de vapor,°C,Caldera,Planta D,160
Temperatura agua de alimentación,°C,Caldera,Planta D,95
Capacidad de procesamiento,tRFF∙h-1,General,Planta E,24
Fruto procesado ,tRFF∙año-1,General,Planta E,75534
Horas de operación,h∙año-1,General,Planta E,3147
Tasa de extracción aceite,% ACP∙tRFF-1,General,Planta E,20.77
Aceite crudo producido,tACP∙año-1,General,Planta E,15688
PKO producido,tPKO∙año-1,General,Planta E,2803
Humedad PKO,%,General,Planta E,6.74
Vapor de esterilización,kgvapor∙h-1,Esterilización,Planta E,5153
Vapor de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta E,214.70833333333334
Deshidratación del fruto ,%,Esterilización,Planta E,12.32
Condensados de esterilización,kg∙tRFF∙h-1,Esterilización,Planta E,3317
Condensados de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta E,138.20833333333334
Vapor evaporador, ,Esterilización,Planta E,3675.42
Vapor evaporador (específico por tRFF),por tRFF procesado,Esterilización,Planta E,153.1425
Raquis vacío ,kg∙tRFF∙h-1,Desfrutado,Planta E,24.34
Humedad raquis,%,Desfrutado,Planta E,59.7
Masa que pasa por digestor,MPD∙tRFF∙h-1,Desfrutado,Planta E,63.34
Vapor de digestión,kgvapor∙h-1,Digestión y prensado,Planta E,2113
Licor de prensa,kgLP∙h-1,Digestión y prensado,Planta E,9513
Aceite crudo en LP,%,Digestión y prensado,Planta E,54
Agua en LP,%,Digestión y prensado,Planta E,17
Residuos orgánicos en LP,%,Digestión y prensado,Planta E,29
Fibra de mesocarpio,tFibra∙año-1,Digestión y prensado,Planta E,9444
Humedad de mesocarpio,%,Digestión y prensado,Planta E,36.6
Nueces,tNuez∙año-1,Digestión y prensado,Planta E,6247
Humedad de nueces,%,Digestión y prensado,Planta E,14.33
Agua de dilución,kgagua∙h-1,Clarificación,Planta E,3668
Temperatura LP,°C,Clarificación,Planta E,80
Temperatura aceite clarificado,°C,Clarificación,Planta E,71
Aceite clarificado,kgaceite∙h-1,Clarificación,Planta E,4450
Vapor de clarificacion,kgvapor∙h-1,Clarificación,Planta E,513
Lodos de clarificación,kgLodos∙h-1,Clarificación,Planta E,10843
Agua de recuperación,kgagua∙h-1,Recuperación de aceite,Planta E,3004
Aceite recuperado,kgaceite∙h-1,Recuperación de aceite,Planta E,535
Efluente,kgefluente∙h-1,Recuperación de aceite,Planta E,13313
Vapor de almacenamiento,kgvapor∙h-1,Almacenamiento,Planta E,1100
Temperatura despacho,°C,Almacenamiento,Planta E,50
Vapor de secado,kgvapor∙h-1,Secado de nueces,Planta E,1286
Temperatura aire de secado,°C,Flujo de aire de secado,Planta E,55
Humedad de secado,%,Flujo de aire de secado,Planta E,7.8
Cuesco,tCuesco∙año-1,Rotura de nuez,Planta E,3444
Almendra,tAlmendra∙año-1,Rotura de nuez,Planta E,2803
Agua de proceso,kgagua∙año-1,Calentamiento agua proceso,Planta E,25855
Temperatura de calentamiento,°C,Calentamiento agua proceso,Planta E,90
Vapor de calentamiento,kgvapor∙año-1,Calentamiento agua proceso,Planta E,2852.3
Fibra en caldera,%,Caldera,Planta E,75 
Cuesco en caldera,%,Caldera,Planta E,84 
Flujo de vapor,kgvapor∙h-1,Caldera,Planta E, 85420
Presión de vapor,bar,Caldera,Planta E,1
Temperatura de vapor,°C,Caldera,Planta E,160
Temperatura agua de alimentación,°C,Caldera,Planta E,90
Capacidad de procesamiento,tRFF∙h-1,General,Planta F,20
Fruto procesado ,tRFF∙año-1,General,Planta F,38620
Horas de operación,h∙año-1,General,Planta F,1931
Tasa de extracción aceite,% ACP∙tRFF-1,General,Planta F,19.3
Aceite crudo producido,tACP∙año-1,General,Planta F,7454
PKO producido,tPKO∙año-1,General,Planta F,2177
Humedad PKO,%,General,Planta F,4.04
Vapor de esterilización,kgvapor∙h-1,Esterilización,Planta F,4060
Vapor de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta F,203
Deshidratación del fruto ,%,Esterilización,Planta F,12.13
Condensados de esterilización,kg∙tRFF∙h-1,Esterilización,Planta F,2844
Condensados de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta F,142.2
Vapor evaporador, ,Esterilización,Planta F,3059.9
Vapor evaporador (específico por tRFF),por tRFF procesado,Esterilización,Planta F,152.995
Raquis vacío ,kg∙tRFF∙h-1,Desfrutado,Planta F,21.35
Humedad raquis,%,Desfrutado,Planta F,62.8
Masa que pasa por digestor,MPD∙tRFF∙h-1,Desfrutado,Planta F,66.52
Vapor de digestión,kgvapor∙h-1,Digestión y prensado,Planta F,1806
Licor de prensa,kgLP∙h-1,Digestión y prensado,Planta F,7885
Aceite crudo en LP,%,Digestión y prensado,Planta F,53
Agua en LP,%,Digestión y prensado,Planta F,16
Residuos orgánicos en LP,%,Digestión y prensado,Planta F,31
Fibra de mesocarpio,tFibra∙año-1,Digestión y prensado,Planta F,4831
Humedad de mesocarpio,%,Digestión y prensado,Planta F,36.8
Nueces,tNuez∙año-1,Digestión y prensado,Planta F,4880
Humedad de nueces,%,Digestión y prensado,Planta F,16.47
Agua de dilución,kgagua∙h-1,Clarificación,Planta F,2985
Temperatura LP,°C,Clarificación,Planta F,80
Temperatura aceite clarificado,°C,Clarificación,Planta F,70
Aceite clarificado,kgaceite∙h-1,Clarificación,Planta F,3405
Vapor de clarificacion,kgvapor∙h-1,Clarificación,Planta F,408
Lodos de clarificación,kgLodos∙h-1,Clarificación,Planta F,9271
Agua de recuperación,kgagua∙h-1,Recuperación de aceite,Planta F,2605
Aceite recuperado,kgaceite∙h-1,Recuperación de aceite,Planta F,455
Efluente,kgefluente∙h-1,Recuperación de aceite,Planta F,11422
Vapor de almacenamiento,kgvapor∙h-1,Almacenamiento,Planta F,932
Temperatura despacho,°C,Almacenamiento,Planta F,55
Vapor de secado,kgvapor∙h-1,Secado de nueces,Planta F,992
Temperatura aire de secado,°C,Flujo de aire de secado,Planta F,60
Humedad de secado,%,Flujo de aire de secado,Planta F,7.4
Cuesco,tCuesco∙año-1,Rotura de nuez,Planta F,2703
Almendra,tAlmendra∙año-1,Rotura de nuez,Planta F,2177
Agua de proceso,kgagua∙año-1,Calentamiento agua proceso,Planta F,15108
Temperatura de calentamiento,°C,Calentamiento agua proceso,Planta F,90
Vapor de calentamiento,kgvapor∙año-1,Calentamiento agua proceso,Planta F,1283
Fibra en caldera,%,Caldera,Planta F,54 
Cuesco en caldera,%,Caldera,Planta F,80 
Flujo de vapor,kgvapor∙h-1,Caldera,Planta F,78541 
Presión de vapor,bar,Caldera,Planta F,1
Temperatura de vapor,°C,Caldera,Planta F, 160
Temperatura agua de alimentación,°C,Caldera,Planta F,95
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta A,
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta B,
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta C,
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta D,
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta E,
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta F,
