punto,planta,horas,cap_turbina_kW,cap_biogas_kW,generacion_kWh,autoconsumo_kWh,excedente_kWh,excedente_permuta_kWh,excedente_bolsa_kWh
9,Planta A,5105,1250.0,5000.0,26491654.80562471,3835335.4499999997,22656319.355624717,3835335.4499999997,18820983.905624717
9,Planta B,5155,1750.0,7000.0,37834382.150429204,3261053.0,34573329.15042921,3261053.0,31312276.150429208
9,Planta C,5920,1250.0,5000.0,32186257.961443905,3823550.4,28362707.56144389,3823550.4,24539157.161443893
9,Planta D,5496,1000.0,5000.0,25343153.498288907,2622443.7765356563,22720709.72175326,2622443.776535662,20098265.945217595
9,Planta E,3147,1250.0,5000.0,17782879.57871314,2623786.074,15159093.504713163,2623786.074,12535307.430713164
9,Planta F,1931,750.0,4000.0,6794245.920703899,626491.2587633613,6167754.661940546,626491.2587633613,5541263.403177185
10,Planta A,5105,1500.0,5000.0,26861579.8243466,3835335.4499999997,23026244.374346565,3835335.4499999997,19190908.924346566
10,Planta B,5155,1750.0,7000.0,37834382.150429204,3261053.0,34573329.15042921,3261053.0,31312276.150429208
10,Planta C,5920,1250.0,5000.0,32186257.961443905,3823550.4,28362707.56144395,3823550.4,24539157.161443952
10,Planta D,5496,1250.0,5000.0,25653055.408563238,2622443.776535662,23030611.632027566,2622443.776535662,20408167.855491906
10,Planta E,3147,1250.0,6000.0,17845254.296620637,2623786.074,15221468.22262063,2623786.074,12597682.14862063
10,Planta F,1931,1000.0,4000.0,7152506.290629711,626491.2587633613,6526015.031866342,626491.2587633613,5899523.773102981
